index,Case Reference,Open Date,Closed Date,Status,Subject,Reason,Type,Object Type,Address Number,Address Line 1,Address Line 2,City,State,Zipcode_x,Property ID,Location,Latitude,Longitude,Council District,Police District,Census Tract,Census Block Group,Census Block,Neighborhood,X Coordinate,Y Coordinate,2010 Census Tract,2010 Census Block Group,2010 Census Block,TRACTCE20,GEOID20_tract,GEOID20_blockgroup_x,GEOID20_block,Property_Address,Print Key,Address,Zipcode_y,filter_id,GEOID20_blockgroup_y,type,category,Geography
0,1001763651,2023-01-11,01/12/2023 03:13:00 PM,Closed,Dept of Public Works,Streets,Leaves / Lawn Debris (Req_Serv),Property,33,COLONIAL, ,Buffalo,NEW YORK,14222,100.21-1-7,"(42.92002900598427, -78.88054191046042)",42.92002900598427,-78.88054191046042,DELAWARE,District D,65.01,2,2000,Elmwood Bidwell,-8780942.2,5299808.3955,65.01,2,2000,006501,36029006501,360290065012,360290065012000,100.21-1-7 33 COLONIAL,100.21-1-7,33 COLONIAL,14222.0,220 TWO FAMILY DWELLING,360290065012,Leaves / Lawn Debris (Req_Serv),Issues related to trees,360290065012
1,1001761714,2023-01-05,01/06/2023 04:48:00 PM,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,540,ASHLAND, ,Buffalo,NEW YORK,14222,100.21-2-11,"(42.91960072134155, -78.87915812877651)",42.91960072134155,-78.87915812877651,DELAWARE,District D,65.01,1,1001,Elmwood Bidwell,-8780788.158,5299743.2912,65.01,1,1001,006501,36029006501,360290065011,360290065011001,100.21-2-11 540 ASHLAND,100.21-2-11,540 ASHLAND,14222.0,230 THREE FAMILY DWELLING,360290065011,Street Snow Plowing (Req_Serv),Issues related to snow,360290065011
2,1001762755,2023-01-08,01/09/2023 03:32:00 PM,Closed,Dept of Public Works,Streets,Excess Trash (Req_Serv),Property,539,NORWOOD, ,Buffalo,NEW YORK,14222,100.21-2-35,"(42.91976841390961, -78.88000970402702)",42.91976841390961,-78.88000970402702,DELAWARE,District D,65.01,1,1001,Elmwood Bidwell,-8780882.955,5299768.7824,65.01,1,1001,006501,36029006501,360290065011,360290065011001,100.21-2-35 539 NORWOOD,100.21-2-35,539 NORWOOD,14222.0,220 TWO FAMILY DWELLING,360290065011,Excess Trash (Req_Serv),Issues related to garbage/recycling collection,360290065011
3,1001754773,2022-12-20,12/22/2022 01:40:00 PM,Closed,DPIS,Housing,Snow Removal Inspection (Req_Serv),Property,798,ELMWOOD, ,Buffalo,NEW YORK,14222,100.21-3-18.1,"(42.91883555832029, -78.87732497553753)",42.91883555832029,-78.87732497553753,DELAWARE,District D,65.01,1,1000,Elmwood Bidwell,-8780584.092,5299626.9782,65.01,1,1000,006501,36029006501,360290065011,360290065011000,100.21-3-18.1 798 ELMWOOD,100.21-3-18.1,798 ELMWOOD,14222.0,482 DOWNTOWN ROW TYPE (DETACHED),360290065011,Snow Removal Inspection (Req_Serv),Issues related to snow,360290065011
4,504826-1001760254,2023-01-01,01/10/2023 11:04:00 AM,Closed,DPIS,Housing,Open311 Housing,Property,622,AUBURN, ,Buffalo,NEW YORK,14222,100.21-3-19,"(42.91888469933904, -78.87753826529912)",42.91888469933904,-78.87753826529912,DELAWARE,District D,65.01,1,1000,Elmwood Bidwell,-78.87757,42.91884,65.01,1,1000,006501,36029006501,360290065011,360290065011000,100.21-3-19 622 AUBURN,100.21-3-19,622 AUBURN,14222.0,411 APARTMENT,360290065011,Open311 Housing,Other issues,360290065011
5,1001760101,2022-12-30,01/17/2023 08:50:00 AM,Closed,Dept of Public Works,Sanitation,Recycling Tote Combo (Req_Serv),Property,519,ASHLAND, ,Buffalo,NEW YORK,14222,100.21-3-28,"(42.91908445116242, -78.87823923989973)",42.91908445116242,-78.87823923989973,DELAWARE,District D,65.01,1,1000,Elmwood Bidwell,-8780685.868,5299664.8125,65.01,1,1000,006501,36029006501,360290065011,360290065011000,100.21-3-28 519 ASHLAND,100.21-3-28,519 ASHLAND,14222.0,210 ONE FAMILY DWELLING,360290065011,Recycling Tote Combo (Req_Serv),Issues related to garbage/recycling collection,360290065011
6,1001760099,2022-12-30,01/04/2023 11:13:00 AM,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,519,ASHLAND, ,Buffalo,NEW YORK,14222,100.21-3-28,"(42.91908445116242, -78.87823923989973)",42.91908445116242,-78.87823923989973,DELAWARE,District D,65.01,1,1000,Elmwood Bidwell,-8780685.868,5299664.8125,65.01,1,1000,006501,36029006501,360290065011,360290065011000,100.21-3-28 519 ASHLAND,100.21-3-28,519 ASHLAND,14222.0,210 ONE FAMILY DWELLING,360290065011,Totes Replace (Req_Serv),Issues related to garbage/recycling collection,360290065011
7,1001756653,2022-12-27,01/06/2023 04:49:00 PM,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,533,ASHLAND, ,Buffalo,NEW YORK,14222,100.21-3-31,"(42.91937278463855, -78.87815546669836)",42.91937278463855,-78.87815546669836,DELAWARE,District D,65.01,1,1000,Elmwood Bidwell,-8780676.542,5299708.6422,65.01,1,1000,006501,36029006501,360290065011,360290065011000,100.21-3-31 533 ASHLAND,100.21-3-31,533 ASHLAND,14222.0,210 ONE FAMILY DWELLING,360290065011,Street Snow Plowing (Req_Serv),Issues related to snow,360290065011
8,1001761874,2023-01-05,01/06/2023 04:48:00 PM,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,752,ELMWOOD, ,Buffalo,NEW YORK,14222,100.21-4-10,"(42.917636118901925, -78.87744480666954)",42.917636118901925,-78.87744480666954,DELAWARE,District D,65.01,1,1005,Elmwood Bidwell,-8780597.432,5299444.6538,65.01,1,1005,006501,36029006501,360290065011,360290065011005,100.21-4-10 752 ELMWOOD,100.21-4-10,752 ELMWOOD,14222.0,482 DOWNTOWN ROW TYPE (DETACHED),360290065011,Street Snow Plowing (Req_Serv),Issues related to snow,360290065011
9,1001759036,2022-12-29,01/06/2023 04:43:00 PM,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,752,ELMWOOD, ,Buffalo,NEW YORK,14222,100.21-4-10,"(42.917636118901925, -78.87744480666954)",42.917636118901925,-78.87744480666954,DELAWARE,District D,65.01,1,1005,Elmwood Bidwell,-8780597.432,5299444.6538,65.01,1,1005,006501,36029006501,360290065011,360290065011005,100.21-4-10 752 ELMWOOD,100.21-4-10,752 ELMWOOD,14222.0,482 DOWNTOWN ROW TYPE (DETACHED),360290065011,Street Snow Plowing (Req_Serv),Issues related to snow,360290065011
