,Geography,lon,lat,his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,311_index_per_property,distance
0,360290001101,1082646.13035,1033332.95192,26.51162790697674,30.28985362205003,150.88761242733963,0.147147147,0.025062657,24233,0.113924051,0.225373134,0.125373134,0.496621622,0.1625,0.343283582,0.0,0.503125,0.0,0.0,0.804054054,0.0,0.007462687,1926.0,84000.0,0.0,10.69767441860465,29008.316764353487
1,360290001102,1082658.53208,1035794.05722,22.717149220489976,31.524310364768485,144.95174252860176,0.114961961,0.121621622,20756,0.053811659,0.163989856,0.38715131,0.384792627,0.956228956,0.335587489,0.0,0.797546012,0.0,0.0,0.702764977,0.069124424,0.0,1930.0,84000.0,0.225806452,6.45879732739421,26835.811078618557
2,360290001103,1077492.31163,1036704.66481,46.31147540983606,32.05469520577678,138.3112446844191,0.12890625,0.035519126,21980,0.136915078,0.180989583,0.21875,0.221864952,0.833333333,0.177083333,0.0,0.664251208,0.0,0.0,0.540192926,0.0,0.0,1910.0,63000.0,0.07073955,11.065573770491802,25913.92294247932
3,360290002001,1082869.53642,1041361.98036,42.96296296296296,37.6722786809748,141.7641649121559,0.153184165,0.194508009,19691,0.190551181,0.055938038,0.453528399,0.126649077,0.604696673,0.378657487,0.005988024,0.146788991,0.0,0.0,0.356200528,0.042216359,0.005163511,1920.0,76000.0,0.155672823,7.777777777777778,22437.78844131492
4,360290002002,1082899.54649,1038932.07388,28.08219178082192,35.04335890619251,142.99606156271764,0.27184466,0.108823529,22876,0.019157088,0.208737864,0.03236246,0.301948052,0.5,0.419093851,0.088815789,0.320754717,0.0,0.029649596,0.314935065,0.0,0.0,1910.0,77000.0,0.324675325,11.986301369863012,24280.05741053975
5,360290002003,1082745.45723,1037538.34784,21.26168224299065,32.35211950486874,142.2366969537409,0.099607843,0.009950249,34223,0.040899796,0.120784314,0.105098039,0.161993769,0.104651163,0.285490196,0.0,0.570815451,0.091559371,0.0,0.520249221,0.0,0.010196078,1925.0,78000.0,0.200934579,5.841121495327103,25379.53109245652
7,360290005001,1071551.66772,1043742.88523,41.53005464480874,48.781112130371966,122.6788370699349,0.353383459,0.062370062,23758,0.110977081,0.144461078,0.34505988,0.328031809,0.691111111,0.379491018,0.019182652,0.530081301,0.0,0.0,0.727634195,0.0,0.0,1900.0,44000.0,0.24055666,11.202185792349727,21341.073974430587
8,360290005002,1073277.88492,1044607.90336,39.36507936507937,75.31048186785891,123.561584447296,0.463448276,0.060240964,25611,0.160849772,0.191724138,0.060689655,0.487571702,0.842105263,0.042758621,0.008344924,0.287215412,0.189141856,0.0,0.281070746,0.0,0.0,1900.0,40000.0,0.479923518,5.079365079365079,20263.545364745307
9,360290006001,1084931.27159,1035508.69097,34.049586776859506,27.117969061498684,149.67400912986932,0.020886616,0.049075391,35329,0.011065812,0.124467178,0.229752771,0.167883212,0.531007752,0.283034953,0.0,0.546086957,0.0,0.013913043,0.801876955,0.0,0.0,1925.0,111000.0,0.033368092,10.413223140495868,27480.426217585737
10,360290006002,1085458.2223,1034354.88736,17.934782608695652,25.51881416105349,150.6308617102862,0.114285714,0.0,34116,0.026030369,0.168421053,0.306766917,0.229559748,0.137254902,0.030075188,0.001642036,0.776243094,0.0,0.0,0.839622642,0.0,0.007518797,1940.0,137000.0,0.279874214,6.7934782608695645,28600.611003878614
11,360290006003,1085331.40822,1033383.86732,23.832923832923832,23.645008129408613,150.3216595901048,0.190130624,0.044117647,55035,0.0,0.233671988,0.088534107,0.0,0.0,0.0,0.0,0.880299252,0.0,0.0,0.922693267,0.024937656,0.0,1935.0,121000.0,0.117206983,4.914004914004914,29428.77797415088
12,360290006004,1085281.65876,1032440.62598,36.89320388349515,21.19498995278916,151.78748127532242,0.021008403,0.098591549,41930,0.120980092,0.338440111,0.08913649,0.26645768,1.0,0.034818942,0.0,0.692789969,0.0,0.0,0.887147335,0.0,0.005571031,1933.0,113000.0,0.065830721,5.501618122977346,30270.267677075848
13,360290007001,1088765.00959,1034990.21409,30.15075376884422,32.52825480039858,156.99458401858357,0.010221465,0.050209205,57467,0.017948718,0.260647359,0.31516184,0.125,0.254054054,0.115843271,0.0,0.832116788,0.0,0.0,0.912878788,0.0,0.0,1925.0,154000.0,0.0,8.040201005025125,29132.840050046067
14,360290007002,1089083.85812,1033866.63567,27.692307692307693,24.22002445551437,157.464,0.0,0.027322404,36523,0.0,0.158075601,0.265750286,0.124183007,0.125925926,0.111111111,0.0,0.843137255,0.0,0.0,0.928104575,0.0,0.0,1928.0,140000.0,0.019607843,3.076923076923077,30202.319111924637
15,360290007003,1088955.34679,1032538.0537,23.52941176470588,20.466362905387296,158.11952714179205,0.073746313,0.0,37706,0.140468227,0.262536873,0.088495575,0.275,0.0,0.07079646,0.0,0.75,0.0,0.0,0.86875,0.0,0.050147493,1950.0,138000.0,0.0,4.201680672268908,31298.79487994521
16,360290007004,1087499.03096,1033109.01342,13.2404181184669,26.64035732536145,154.24750830469765,0.058095238,0.0,41508,0.037037037,0.326939843,0.063644289,0.170689655,0.523076923,0.034001744,0.003626473,0.469767442,0.013953488,0.0,0.496551724,0.0,0.084568439,1949.0,135000.0,0.179310345,3.8327526132404177,30282.00416586632
17,360290007005,1087246.06773,1035056.55976,29.959514170040485,26.52756832346396,154.1109641940978,0.031887755,0.0,47948,0.015280136,0.230867347,0.169642857,0.174698795,0.135338346,0.035714286,0.0,0.68907563,0.0,0.0,0.88253012,0.0,0.011479592,1930.0,146000.0,0.090361446,4.048582995951417,28517.077487605533
18,360290008001,1084924.00019,1036775.19106,29.48717948717949,30.048096806994355,149.57070452315705,0.05344296,0.020220588,30061,0.209580838,0.162384378,0.21274409,0.303116147,0.183246073,0.274409044,0.035106383,0.645892351,0.016997167,0.0,0.722379603,0.0,0.0,1920.0,121000.0,0.016997167,7.371794871794872,26417.559893306618
19,360290008002,1084431.86146,1038843.43733,35.16260162601626,31.64568335151308,147.90402750611312,0.17496112,0.161556604,40029,0.033745782,0.099845201,0.205108359,0.2864494,0.401015228,0.116099071,0.0,0.3354531,0.0,0.0,0.677530017,0.0,0.0,1920.0,107000.0,0.10806175,7.926829268292683,24646.043177510088
20,360290008003,1086091.84391,1037697.9843,31.0,35.53628297000514,153.00945566257653,0.169237962,0.072131148,31125,0.068711656,0.124357176,0.205236092,0.215946844,0.246153846,0.203833567,0.0,0.601075269,0.011827957,0.0,0.695459579,0.0,0.032725573,1920.0,114000.0,0.03654485,4.4,25989.86827635385
21,360290008004,1087441.51435,1036181.77369,36.09756097560975,31.835111761093344,155.10797658889155,0.066549912,0.0,51605,0.03286385,0.129597198,0.210157618,0.032258065,0.0,0.04028021,0.0,0.5,0.048387097,0.0,0.758064516,0.0,0.0,1925.0,146000.0,0.0,8.292682926829269,27653.144828506844
23,360290009002,1085917.63106,1039903.90974,41.10671936758894,33.973489630435544,149.8846641835509,0.102189781,0.051886792,30019,0.023752969,0.195255474,0.217153285,0.401486989,0.294117647,0.217153285,0.0,0.517142857,0.0,0.0,0.687732342,0.0,0.0,1925.0,132500.0,0.037174721,9.881422924901186,24249.531917106568
25,360290010001,1089643.38641,1038528.01361,33.6986301369863,36.64773770272945,153.419579523157,0.200723327,0.109852775,31603,0.112299465,0.027124774,0.122061483,0.263888889,0.466666667,0.037974684,0.0,0.194666667,0.025333333,0.0,0.241319444,0.0,0.0,1910.0,84000.0,0.164930556,8.493150684931507,26754.787535395582
26,360290010002,1089045.91751,1040033.27276,43.6842105263158,33.31921090628628,153.214,0.420600858,0.0,18035,0.149377593,0.226037196,0.310443491,0.65625,0.285714286,0.618025751,0.02349486,0.3203125,0.0,0.0,0.3359375,0.0,0.0,1908.0,81000.0,0.0,13.157894736842104,25390.635014813277
27,360290010003,1089018.0182,1037119.82219,36.36363636363637,35.48098812972158,154.39605391696892,0.213375796,0.062622309,33456,0.121538462,0.167550371,0.16330859,0.323353293,0.444444444,0.130434783,0.023758099,0.571052632,0.105263158,0.0,0.721556886,0.0,0.073170732,1910.0,76000.0,0.119760479,5.741626794258373,27533.21453583568
28,360290010004,1086613.13256,1040774.62029,38.69565217391304,35.873144436083216,151.14395157691368,0.486966825,0.194174757,17322,0.0,0.1492891,0.252369668,0.142857143,0.408163265,0.340047393,0.0,0.213414634,0.0,0.0,0.283410138,0.108294931,0.0,1920.0,79000.0,0.290322581,9.565217391304348,23857.71359767195
29,360290010005,1088684.52911,1041366.7343,29.895366218236173,38.600313952058414,149.7562520469788,0.085277247,0.018453427,33070,0.019918284,0.315609571,0.194075199,0.331162791,0.0,0.078237752,0.0,0.604651163,0.0,0.0,0.658604651,0.049302326,0.0,1920.0,71000.0,0.039069767,7.025411061285501,24305.446555417748
31,360290011002,1085265.61738,1041991.47481,39.69465648854962,40.19469339034556,142.26921053736476,0.091580502,0.029761905,32484,0.082191781,0.270310192,0.149187592,0.142394822,0.891089109,0.023633678,0.0,0.660377358,0.0,0.0,0.84789644,0.0,0.0,1928.0,95000.0,0.132686084,8.396946564885496,22563.932155203907
32,360290011003,1084844.53458,1043778.5243,51.13636363636363,39.76054077289309,139.91086420996896,0.341500766,0.0,24093,0.197278912,0.257274119,0.073506891,0.540669856,1.0,0.0,0.0,0.18501171,0.299765808,0.051522248,0.234449761,0.0,0.036753446,1914.0,80000.0,0.466507177,13.257575757575758,21246.36906285111
33,360290014031,1075072.70029,1049782.20117,85.24590163934425,45.79936490926433,116.4571667269538,0.309222423,0.105263158,33146,0.212981744,0.314647378,0.032549729,0.545012165,1.0,1.0,0.0,0.315668203,0.516129032,0.0,0.326034063,0.02919708,0.0,1993.0,129000.0,0.520681265,44.26229508196721,16568.434813554784
34,360290014032,1073167.45566,1050529.59358,58.71559633027523,48.95074151002972,112.45666274851992,0.362134689,0.03515625,17574,0.112804878,0.149936468,0.342439644,0.44042838,0.415254237,0.953621347,0.064888248,0.198973042,0.299101412,0.0,0.089692102,0.081659973,0.020330368,1992.5,107000.0,0.560910308,11.926605504587156,16492.311409582737
35,360290014041,1075322.99523,1050770.19472,61.53846153846154,53.43471163353193,114.1134850945826,0.73006135,0.626760563,7857,0.463687151,0.193251534,0.242331288,0.438679245,1.0,1.0,0.05204461,0.097421203,0.444126074,0.0,0.08490566,0.0,0.0,1993.0,119000.0,0.740566038,15.384615384615383,15991.070622866097
36,360290014042,1074231.23714,1051936.64192,39.02439024390244,40.80273410242887,109.52033695441555,0.339366516,0.0,13327,0.477011494,0.285067873,0.180995475,0.253424658,0.0,0.972850679,0.0,0.153374233,0.518404908,0.0,0.171232877,0.0,0.0,1989.0,131000.0,0.623287671,10.365853658536585,15544.24110796113
37,360290015001,1077519.29479,1050431.96724,48.06201550387597,50.05523166143638,117.06707364795962,0.173228346,0.04,26089,0.082568807,0.125984252,0.241469816,0.341085271,0.919463087,0.940944882,0.0,0.621323529,0.0,0.0,0.620155039,0.0,0.009186352,1910.0,34500.0,0.352713178,12.790697674418606,16060.98073284578
38,360290015002,1077256.28879,1052891.02561,36.99421965317919,36.11970016247593,112.8813275439588,0.46996997,0.286764706,18598,0.1678487,0.100600601,0.364864865,0.279693487,0.443514644,0.951951952,0.106145251,0.263888889,0.052777778,0.0,0.283524904,0.0,0.0,1910.0,25000.0,0.540229885,10.982658959537572,14857.492483974736
39,360290015003,1076754.1537,1051522.84966,36.12565445026178,46.40477173485478,112.8464084283032,0.068877551,0.078512397,37267,0.08852459,0.232142857,0.102040816,0.372972973,1.0,0.829081633,0.015584416,0.722222222,0.0,0.0,0.864864865,0.0,0.0,1910.0,37000.0,0.172972973,10.471204188481677,15503.57762578335
40,360290016011,1083002.39387,1052712.41138,61.29032258064516,50.15730982485356,120.39686205339744,0.417674908,0.129925453,14833,0.260536398,0.097317201,0.239347712,0.538221529,0.70989011,0.792740663,0.186459489,0.300995025,0.299751244,0.0,0.391575663,0.059282371,0.0,1910.0,20000.0,0.433697348,10.850439882697946,15848.450223048218
41,360290016021,1079627.09986,1052794.75284,40.21447721179624,49.75423532944828,113.72900997076708,0.341630901,0.221428571,17321,0.19047619,0.2472103,0.182832618,0.436988543,0.174603175,0.760515021,0.139273356,0.32697201,0.041984733,0.0,0.386252046,0.0,0.011158798,1900.0,22000.0,0.332242226,10.187667560321715,15068.834019285665
43,360290017002,1079002.99184,1049649.94153,54.58715596330275,44.11377548236591,121.31358670834864,0.366300366,0.0,20474,0.304597701,0.201465201,0.22954823,0.378723404,0.265306122,0.431013431,0.046113307,0.608414239,0.0,0.0,0.612765957,0.09787234,0.006105006,1900.0,27000.0,0.187234043,7.79816513761468,16554.390755342956
44,360290019001,1086850.89676,1045155.28546,46.88172043010753,44.10842480278292,138.11237973748328,0.12289916,0.0,33697,0.16875,0.205882353,0.089285714,0.282692308,0.0,0.215336134,0.0,0.510606061,0.0,0.0,0.528846154,0.0,0.0,1910.0,70000.0,0.115384615,16.129032258064516,21101.258332519777
45,360290019002,1089602.13526,1045301.98015,33.189655172413794,48.22886763604962,143.7950662370405,0.043735225,0.06612411,32449,0.044283414,0.134751773,0.234042553,0.283540802,0.371212121,0.211583924,0.0,0.680359435,0.0,0.0,0.543568465,0.0,0.0,1945.0,101000.0,0.138312586,10.775862068965516,22325.20065710679
