his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,lon,lat
26.51162791,30.28985362,150.8876124,0.147147147,0.025062657,24233,0.113924051,0.225373134,0.125373134,0.496621622,0.1625,0.343283582,0,0.503125,0,0,0.804054054,0,0.007462687,1926,84000,0,1082646.13,1033332.952
22.71714922,31.52431036,144.9517425,0.114961961,0.121621622,20756,0.053811659,0.163989856,0.38715131,0.384792627,0.956228956,0.335587489,0,0.797546012,0,0,0.702764977,0.069124424,0,1930,84000,0.225806452,1082658.532,1035794.057
46.31147541,32.05469521,138.3112447,0.12890625,0.035519126,21980,0.136915078,0.180989583,0.21875,0.221864952,0.833333333,0.177083333,0,0.664251208,0,0,0.540192926,0,0,1910,63000,0.07073955,1077492.312,1036704.665
42.96296296,37.67227868,141.7641649,0.153184165,0.194508009,19691,0.190551181,0.055938038,0.453528399,0.126649077,0.604696673,0.378657487,0.005988024,0.146788991,0,0,0.356200528,0.042216359,0.005163511,1920,76000,0.155672823,1082869.536,1041361.98
28.08219178,35.04335891,142.9960616,0.27184466,0.108823529,22876,0.019157088,0.208737864,0.03236246,0.301948052,0.5,0.419093851,0.088815789,0.320754717,0,0.029649596,0.314935065,0,0,1910,77000,0.324675325,1082899.546,1038932.074
21.26168224,32.3521195,142.236697,0.099607843,0.009950249,34223,0.040899796,0.120784314,0.105098039,0.161993769,0.104651163,0.285490196,0,0.570815451,0.091559371,0,0.520249221,0,0.010196078,1925,78000,0.200934579,1082745.457,1037538.348
29.51807229,39.11887672,142.071,0.10757315,0.029508197,23291,0.217948718,0.100688468,0.2616179,0.340425532,0.605263158,0.342512909,0,0.516129032,0,0.090725806,0.376595745,0,0,1925,68000,0.229787234,1082210.018,1039865.812
41.53005464,48.78111213,122.6788371,0.353383459,0.062370062,23758,0.110977081,0.144461078,0.34505988,0.328031809,0.691111111,0.379491018,0.019182652,0.530081301,0,0,0.727634195,0,0,1900,44000,0.24055666,1071551.668,1043742.885
39.36507937,75.31048187,123.5615844,0.463448276,0.060240964,25611,0.160849772,0.191724138,0.060689655,0.487571702,0.842105263,0.042758621,0.008344924,0.287215412,0.189141856,0,0.281070746,0,0,1900,40000,0.479923518,1073277.885,1044607.903
34.04958678,27.11796906,149.6740091,0.020886616,0.049075391,35329,0.011065812,0.124467178,0.229752771,0.167883212,0.531007752,0.283034953,0,0.546086957,0,0.013913043,0.801876955,0,0,1925,111000,0.033368092,1084931.272,1035508.691
