his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,lon,lat
-1.929953642,-0.051060927,0.275907583,0.009862269,-0.020625387,0.193883233,-0.00320455,0.094770485,8.04E-05,0.261292416,-0.049574654,-0.491775613,0.015038692,0.08319807,0.043197338,-0.005602663,-0.123210253,0.004156229,0.038600275,0.260015749,-0.149603759,0.244311602,0.002165439,-0.194501071
-2.293405778,-0.147890275,0.198447862,-0.050234935,0.046455053,0.104707717,0.016304349,-0.046704,-0.041906397,0.04436098,0.085677089,-0.776882232,-0.019438349,-0.035247796,0.000637425,-0.008912856,-0.234730361,-0.015981905,0.078970342,0.069324591,-0.225409918,-0.049594427,-0.082795237,-0.323852014
0.120095752,-0.067718514,0.459672146,0.016764665,-0.015500431,0.048037408,-0.059822382,0.016359624,-0.046317754,-0.040876172,0.083381938,-0.549434163,-0.043369049,0.030393292,-0.025015331,-0.002672886,-0.127238042,0.005823006,0.055188384,-0.123142235,0.254048304,0.081270852,-0.053328754,-0.152437988
-0.28524775,-0.082436544,0.34519028,-0.04212876,0.014050746,0.032297462,-0.020153436,-0.001000003,-0.067575452,-0.259119946,-0.103926822,-0.647882056,-0.111784408,-0.056412568,-0.047578002,-0.002620304,-0.017349616,-0.013477365,-0.007124279,0.02026276,-0.162853806,-0.017006759,-0.118247711,-0.150772093
-1.445417325,-0.054860785,0.306165006,0.033828716,0.099417576,0.173566306,0.147859173,0.10761661,0.303423376,0.068474532,-0.004027813,-0.317696863,0.133045544,0.007506718,0.016970112,0.120197225,0.108621993,-0.001189111,0.090421189,0.026923796,-0.090697856,0.052376333,-0.030891855,-0.069734098
-2.317850842,-0.12554576,0.230428361,-0.064773267,-0.092362223,-0.043563334,0.023209477,-0.04682577,-0.020243942,-0.159693349,-0.138822233,-0.77770241,-0.010814924,-0.05740411,0.003436531,-0.008144522,-0.12718717,-0.003034907,-0.159251037,0.131988612,-0.257798868,-0.038803,-0.068823627,-0.345847006
-1.831953155,-0.070883012,0.289504379,-0.033188458,-0.037770767,0.134922722,-0.033683463,-0.050918715,-0.060965764,0.063219608,-0.028529704,-0.57222099,-0.019069744,0.050064991,0.020801312,0.08626835,0.0076795,0.00197427,0.087760873,0.205226511,0.027173528,-0.036416238,-0.058961918,-0.13107311
-0.269084605,0.100563016,0.261781712,0.022882157,-0.025910778,0.040578,-0.042854463,-0.067914838,0.033303683,0.044328927,-0.023157268,-0.432016989,-0.052894529,0.088140017,-0.006589233,-0.001947198,-0.208368045,-0.004713784,0.024000145,-0.114774362,0.22173121,-0.022847624,0.040905358,0.164032789
-0.952814547,-0.205562488,0.14042641,-0.038321088,-0.100458447,-0.023717063,-0.08924177,-0.064427542,-0.162432448,0.088419564,-0.015381977,-1.388488396,-0.167136213,-0.076759646,-0.023510364,-0.002192693,-0.040062015,-0.0191695,-0.015374349,-0.1456836,0.092581737,-0.071122214,-0.124936561,0.075476137
-0.713875699,-0.094198543,0.287637189,-0.021768616,-0.004186398,0.017407831,0.115970496,-0.039100758,-0.033391348,-0.16333724,-0.038624451,-0.521200088,-0.017715019,0.046446936,-0.003696376,0.027968367,-0.118555775,0.000170092,0.108611916,0.160164116,-0.189733483,0.10765883,0.035931706,-0.260267574
