Geography,lon,lat,his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,311_index_per_property
360290030001,1089661.64824,1059713.18885,52.27272727272727,47.68613716115991,108.1495945148466,0.21415608,0.0,25159,0.0,0.130671506,0.303085299,0.216216216,0.741935484,0.77676951,0.035320088,0.495575221,0.0,0.0,0.548262548,0.069498069,0.0,1920.0,54000.0,0.108108108,21.96969696969697
360290170001,1084502.76611,1066126.63657,33.155080213903744,43.2666043382977,87.78157183614931,0.042769857,0.049180328,45450,0.076112412,0.106924644,0.073319756,0.226980728,1.0,0.958248473,0.0,0.758483034,0.0,0.0,0.817987152,0.0,0.0,1920.0,43000.0,0.263383298,13.368983957219251
360290008001,1084924.00019,1036775.19106,29.48717948717949,30.048096806994355,149.57070452315705,0.05344296,0.020220588,30061,0.209580838,0.162384378,0.21274409,0.303116147,0.183246073,0.274409044,0.035106383,0.645892351,0.016997167,0.0,0.722379603,0.0,0.0,1920.0,121000.0,0.016997167,7.371794871794872
360290166001,1078698.84675,1054669.3531,31.11111111111111,40.98929631613377,109.6061878587235,0.28150874,0.217252396,13172,0.301369863,0.09475621,0.493100276,0.405594406,0.444029851,0.97700092,0.048840049,0.497641509,0.0,0.0,0.674825175,0.13986014,0.0,1910.0,23000.0,0.548951049,11.11111111111111
360290027031,1080298.81313,1056300.11888,65.6891495601173,44.42754627638244,109.19637163443912,0.811748999,0.035190616,8253,0.356617647,0.054521277,0.347074468,0.394265233,0.265225933,0.916888298,0.22697126,0.27753304,0.292217327,0.0,0.202508961,0.03046595,0.029255319,1900.0,23000.0,0.564516129,15.835777126099709
360290167001,1089442.46845,1047394.36715,60.57347670250897,46.84343626271302,141.03225352282237,0.129296236,0.021097046,33694,0.084479371,0.127659574,0.10801964,0.435087719,1.0,0.144026187,0.0,0.495677233,0.0,0.0,0.561403509,0.0,0.0,1920.0,75000.0,0.087719298,15.053763440860216
360290047011,1085480.72618,1073046.60007,42.35924932975871,36.38691011663766,77.83377713189944,0.466666667,0.161184211,26939,0.093306288,0.0,0.24057971,0.150134048,0.93373494,0.514492754,0.038709677,0.70617284,0.0,0.0,0.203753351,0.0,0.0,1925.0,62000.0,0.174262735,12.332439678284182
360290168021,1074786.9162,1063359.78049,38.21656050955414,52.56394455870644,96.72490318132886,0.102917342,0.078651685,27303,0.148018648,0.138573744,0.108589951,0.319148936,0.653061224,0.987034036,0.0,0.353251318,0.105448155,0.0,0.395744681,0.0,0.0,1910.0,48000.0,0.172340426,10.191082802547772
360290006003,1085331.40822,1033383.86732,23.832923832923832,23.645008129408613,150.3216595901048,0.190130624,0.044117647,55035,0.0,0.233671988,0.088534107,0.0,0.0,0.0,0.0,0.880299252,0.0,0.0,0.922693267,0.024937656,0.0,1935.0,121000.0,0.117206983,4.914004914004914
360290054002,1070690.93605,1072007.02348,62.05128205128205,42.44092940709592,87.00773864415582,0.143812709,0.023706897,29451,0.176197836,0.154960981,0.220735786,0.123752495,0.621212121,0.353400223,0.0,0.045537341,0.327868852,0.0,0.201596806,0.0,0.011148272,1924.0,204000.0,0.153692615,9.230769230769232
