ntree,mtry,maxdepth,r2,rmse
130,22,10,0.490054849,4.212148536
140,22,10,0.487592918,4.222304071
160,22,10,0.486245991,4.22784986
150,22,10,0.485012428,4.232922515
180,22,10,0.484336715,4.235698605
80,22,10,0.483369752,4.239668101
120,22,10,0.482858198,4.241766586
190,22,10,0.482515583,4.243171473
170,22,10,0.482427554,4.243532361
90,22,10,0.481552501,4.247118087
110,22,10,0.480871556,4.249906321
200,22,10,0.48046746,4.251560086
130,22,20,0.479054598,4.257337193
70,22,10,0.478762796,4.258529377
210,22,10,0.477775923,4.262558869
100,22,10,0.477042134,4.265552527
130,22,5,0.47696166,4.265880711
220,22,10,0.476363925,4.268317567
270,22,10,0.475374387,4.272348676
60,22,10,0.475373849,4.272350867
230,22,10,0.474674177,4.275198846
130,22,15,0.474229709,4.277007043
260,22,10,0.474208678,4.277092586
290,22,10,0.47417588,4.27722598
160,22,20,0.473980607,4.278020114
280,22,10,0.473934444,4.27820783
140,22,20,0.473871989,4.278461778
300,22,10,0.473807905,4.278722335
150,22,20,0.473737549,4.279008373
120,22,20,0.473558332,4.279736912
80,22,5,0.473226908,4.281083865
180,22,20,0.473054715,4.281783513
180,22,15,0.472449735,4.284240743
270,22,20,0.471924087,4.286374607
140,22,15,0.471743092,4.287109111
240,22,10,0.471692224,4.287315516
200,22,20,0.47150708,4.288066691
160,22,15,0.471418218,4.288427177
280,22,20,0.471339671,4.288745796
170,22,20,0.471203923,4.289296389
300,22,20,0.471095533,4.289735964
150,22,15,0.471080242,4.289797975
70,22,5,0.471057086,4.289891876
120,22,5,0.471018339,4.290048996
200,22,15,0.470911207,4.290483395
60,22,5,0.470852861,4.290719959
210,22,20,0.470780731,4.29101239
140,22,5,0.470724074,4.291242078
250,22,10,0.470647467,4.291552621
100,22,5,0.47041213,4.292506474
190,22,20,0.470327485,4.292849503
270,22,15,0.47028047,4.293040019
280,22,15,0.470238501,4.29321008
260,22,20,0.470092829,4.293800309
290,22,20,0.469907418,4.294551426
90,22,5,0.469879189,4.294665773
150,22,5,0.469603141,4.295783804
110,22,5,0.469568147,4.295925511
170,22,15,0.469562667,4.295947702
300,22,15,0.469560875,4.295954959
190,22,15,0.469552172,4.295990202
80,22,20,0.469295565,4.297029178
210,22,15,0.469205038,4.297395655
270,22,5,0.469009358,4.298187709
220,22,20,0.468963686,4.298372555
40,22,10,0.468769623,4.299157886
230,22,20,0.468704436,4.299421654
260,22,15,0.468603583,4.2998297
110,22,20,0.468564596,4.299987431
290,22,15,0.468401014,4.300649175
160,22,5,0.468108472,4.301832349
250,22,20,0.467698464,4.303490058
70,22,20,0.467658777,4.303650485
220,22,15,0.467528528,4.304176943
120,22,15,0.46749542,4.304310753
280,22,5,0.467330858,4.304975792
230,22,15,0.467199886,4.305505008
90,22,20,0.467118154,4.305835232
170,22,5,0.467103913,4.305892767
180,22,5,0.466789657,4.307162199
240,22,20,0.466650623,4.307723708
260,22,5,0.466579787,4.308009759
100,22,20,0.466451513,4.308527712
250,22,15,0.46619207,4.309575118
60,22,20,0.465906139,4.310729161
290,22,5,0.465460361,4.312527746
240,22,15,0.465386777,4.312824565
50,22,10,0.465333576,4.313039152
300,22,5,0.465058109,4.314150075
190,22,5,0.464252528,4.317397239
230,22,5,0.463565433,4.320164881
250,22,5,0.463470107,4.320548714
220,22,5,0.462204794,4.32564035
210,22,5,0.461923341,4.326772105
240,22,5,0.461795751,4.327285061
110,22,15,0.461686232,4.327725319
50,22,5,0.461413265,4.328822426
200,22,5,0.461364627,4.329017881
80,22,15,0.460093842,4.334121528
100,22,15,0.459666879,4.335834923
40,22,20,0.459604551,4.336084986
90,22,15,0.459190511,4.337745779
50,22,20,0.457181507,4.345795258
40,22,5,0.456929711,4.346803079
60,22,15,0.454480276,4.356594843
70,22,15,0.454119084,4.358036869
30,22,10,0.450682129,4.371734798
40,22,15,0.447248844,4.385375379
50,22,15,0.445997032,4.390338337
10,22,5,0.444672683,4.395582777
30,22,5,0.439681002,4.415293911
20,22,5,0.439556228,4.41578549
20,22,10,0.437530998,4.423756776
30,22,20,0.437018691,4.425770939
20,22,20,0.435034899,4.433561682
20,22,15,0.432832572,4.442194656
30,22,15,0.429459909,4.455382842
20,11,5,0.421665245,4.485714103
10,22,10,0.419918595,4.49248273
20,11,20,0.412734723,4.520215145
20,11,15,0.410331539,4.529454426
290,11,20,0.407482366,4.540383996
270,11,20,0.406682571,4.543447324
290,11,15,0.406536712,4.544005766
270,11,15,0.40637492,4.544625123
300,11,20,0.406064185,4.545814416
300,11,15,0.405670768,4.547319717
290,11,10,0.405647921,4.54740712
300,11,10,0.40512086,4.549422953
280,11,20,0.405080806,4.549576111
280,11,15,0.404761322,4.550797554
240,11,20,0.404005599,4.553685516
250,11,20,0.403869624,4.554204944
260,11,20,0.403679681,4.554930431
230,11,20,0.403110619,4.557103272
260,11,15,0.403022281,4.557440479
90,11,15,0.402910586,4.557866809
270,11,10,0.402818077,4.558219878
220,11,20,0.402809491,4.558252647
280,11,10,0.402677854,4.558754999
250,11,15,0.402502353,4.559424662
130,11,15,0.402314321,4.560142031
240,11,15,0.401933143,4.561595927
210,11,20,0.401767101,4.562229105
190,11,20,0.401259062,4.564165891
180,11,20,0.401170326,4.564504094
200,11,20,0.401101946,4.564764694
90,11,20,0.400908082,4.565503443
230,11,15,0.400787326,4.565963543
30,11,5,0.40076204,4.566059882
130,11,20,0.400439913,4.567286987
260,11,10,0.400429489,4.567326691
220,11,15,0.400148404,4.568397169
150,11,20,0.399988188,4.569007221
150,11,15,0.399533818,4.570736876
200,11,15,0.399350739,4.571433621
110,11,15,0.399101822,4.572380753
210,11,15,0.399020949,4.572688434
100,11,15,0.398960438,4.572918635
120,11,15,0.398892517,4.573177008
230,11,10,0.39883811,4.573383969
140,11,15,0.398833209,4.573402608
190,11,10,0.398798617,4.573534188
190,11,15,0.398595295,4.574307493
80,11,20,0.398577313,4.574375878
180,11,15,0.398487867,4.574716025
80,11,15,0.398132504,4.576067156
140,11,20,0.397996734,4.576583264
170,11,20,0.397623705,4.578000976
250,11,10,0.39753449,4.578339975
210,11,10,0.397521509,4.578389299
120,11,20,0.397510092,4.57843268
150,11,10,0.397393666,4.57887503
240,11,10,0.397384305,4.578910595
200,11,10,0.39737508,4.578945642
220,11,10,0.397189847,4.57964932
160,11,20,0.397086245,4.580042841
170,11,10,0.396908786,4.580716827
160,11,10,0.396316363,4.582966117
130,11,5,0.396252739,4.583207619
180,11,10,0.395978487,4.584248459
160,11,15,0.395968764,4.584285355
10,22,20,0.395747979,4.585123101
100,11,20,0.395718593,4.585234593
170,11,15,0.39571845,4.585235135
290,11,5,0.395185897,4.587255174
110,11,20,0.3951154,4.587522509
270,11,5,0.395061382,4.587727344
30,11,20,0.395010469,4.587920397
140,11,10,0.394959919,4.588112067
130,11,10,0.394491084,4.589889346
140,11,5,0.394422117,4.590150732
90,11,5,0.393930454,4.592013702
280,11,5,0.393703397,4.592873794
70,11,20,0.393259139,4.594556178
80,11,5,0.392511696,4.597385319
70,11,15,0.392482608,4.597495385
180,11,5,0.392437012,4.597667911
300,11,5,0.392255178,4.598355866
150,11,5,0.391938107,4.599555227
260,11,5,0.391625949,4.600735704
230,11,5,0.39126798,4.602089049
170,11,5,0.391118043,4.602655784
190,11,5,0.390948714,4.603295733
110,11,10,0.390667484,4.6043584
120,11,5,0.390359284,4.605522693
100,11,5,0.390347738,4.605566306
240,11,5,0.390087132,4.606550564
250,11,5,0.389761411,4.60778045
220,11,5,0.389591881,4.60842045
120,11,10,0.389350295,4.609332313
200,11,5,0.389192299,4.609928573
100,11,10,0.388965867,4.610782964
160,11,5,0.38879171,4.611439999
10,11,5,0.388023692,4.614336358
210,11,5,0.38754156,4.616153652
80,11,10,0.38692229,4.618486809
40,11,20,0.386898682,4.618575733
90,11,10,0.386777897,4.619030653
20,11,10,0.386766604,4.619073185
70,11,10,0.385601183,4.623460268
30,11,15,0.38555152,4.623647124
70,11,5,0.384807311,4.626446318
110,11,5,0.383553722,4.631157613
60,11,20,0.383401442,4.631729594
60,11,10,0.382626101,4.634640758
40,11,15,0.381839098,4.637593844
60,11,15,0.380468023,4.642734065
10,22,15,0.380170123,4.643850154
60,11,5,0.379838807,4.645091117
50,11,20,0.379325742,4.647012184
20,7,20,0.378259227,4.65100299
10,7,5,0.37810575,4.651577007
40,11,5,0.377472174,4.653945879
50,11,15,0.376046862,4.659270569
10,11,20,0.375951602,4.659626225
20,7,10,0.37509968,4.662805692
130,7,20,0.374198419,4.666166939
130,7,15,0.373386216,4.669193976
10,11,15,0.370253569,4.680850838
30,11,10,0.369922351,4.682081633
130,7,5,0.368854083,4.68604908
50,11,5,0.368697257,4.686631233
140,7,20,0.36761393,4.690650681
120,7,5,0.3674348,4.691314973
140,7,15,0.367271644,4.691919945
120,7,15,0.366363898,4.695284378
130,7,10,0.365833238,4.697250078
10,7,20,0.36548884,4.698525377
110,7,15,0.365170816,4.699702705
120,7,20,0.364425003,4.70246256
40,11,10,0.364332515,4.702804697
110,7,5,0.36405272,4.703839573
110,7,20,0.363951247,4.704214836
20,7,5,0.363586319,4.705564144
120,7,10,0.362830103,4.708359
140,7,5,0.362708723,4.708807446
80,7,5,0.362683408,4.708900968
140,7,10,0.362535881,4.709445946
100,7,5,0.362365252,4.71007619
